personnel_id,name,surname,department_no,worker_type,password
62010,Beray,Yorulmaz,6,worker,124025
62011,Maksur,Korutürk,6,worker,124027
62012,Pekkan,Alemdar,6,worker,124029
71000,Tali,Ertaş,7,department manager,142005
72001,Kuddusi,Akdeniz,7,worker,144007
72002,Dirlik,Zengin,7,worker,144009
72003,Asım,Eraslan,7,worker,144011
72004,Saydam,Seven,7,worker,144013
72005,Kanpulat,Dumanlı,7,worker,144015
72006,Tümer,Yüksel,7,worker,144017
72007,Rüknettin,Sezgin,7,worker,144019
72008,Fildan,Bilir,7,worker,144021
72009,Vafir,Alemdar,7,worker,144023
72010,Abdürreşit,Tevetoğlu,7,worker,144025
72011,Dilder,Duran,7,worker,144027
72012,Çamok,Güçlü,7,worker,144029
72000,Oktüremiş,Karadeniz,7,worker,144005
72001,Musafet,Şama,7,worker,144007
72002,Kamar,Bilgin,7,worker,144009
72003,Atanur,Mansız,7,worker,144011
72004,Borataş,Bilir,7,worker,144013
72005,İlkim,Akça,7,worker,144015
72006,Basriye,Erdoğan,7,worker,144017
72007,Biltaş,Ülker,7,worker,144019
72008,Aylil,Bilge,7,worker,144021
72009,Özpınar,Zorlu,7,worker,144023
72010,Çopur,Ergül,7,worker,144025
72011,Demirbüken,Sakarya,7,worker,144027
72012,Zöhrehan,Arslan,7,worker,144029
